run,queryIndex,queryId,scenario,terminalState,outcome,totalMs,executionMs,anchorAndPersistenceMs,anchorQueueWaitMs,anchorServiceMs,retryCount,remoteRequestAttempts,receiptBytes,receiptRoot,anchorTxHash,anchorBlockHeight,auditVerified,expectedBehavior,error
1,6,livereg-2026-09-01T01-38-58-803Z-1-missing_disclosure-6,missing_disclosure,INSUFFICIENT_EVIDENCE,INSUFFICIENT,495.943,50,445.943,0.004,438.583,0,5,14206,0xaa1ee4900e264dd61f12c008467d2c47db5e1434f2911db2fe1fd9418ec1e69e,0xae591fa4f73874ca1f9631fddc14a0cd57bceeb5abfada255b7ff2c856cce083,1102,true,true,
1,7,livereg-2026-09-01T01-38-58-803Z-1-missing_disclosure-7,missing_disclosure,INSUFFICIENT_EVIDENCE,INSUFFICIENT,535.796,51,484.796,0.009,472.226,0,5,14206,0xb6010d8da091bf48fe7caf8a36e5e46487766e7b01cd93a59eff85fce6fee2d5,0x71242e720d7dfe379854f54b6a15a17d811cc21701a4d39f3e55186d4741c1e5,1103,true,true,
1,8,livereg-2026-09-01T01-38-58-803Z-1-missing_disclosure-8,missing_disclosure,INSUFFICIENT_EVIDENCE,INSUFFICIENT,496.551,71,425.551,0.008,415.68,0,5,14206,0x56f18fdbdca7e728c92563ce25cc2e22f3db41314dbb988e37774ddca10236ed,0xf6b882a59b2674e5cea61ec6830bd3f3bf830f8181da54d37b8e9b6e68d98474,1104,true,true,
1,9,livereg-2026-09-01T01-38-58-803Z-1-missing_disclosure-9,missing_disclosure,INSUFFICIENT_EVIDENCE,INSUFFICIENT,592.171,60,532.171,0.005,525.05,0,5,14206,0x37a8455f311ef1aaa4ebf8abc8a59eb0244077c79c94572c25a40eab38ad1894,0x6f768b8e36d9d43f695e19cf016ae2ecbf698b74f8b95626094817ad966c6131,1105,true,true,
1,0,livereg-2026-09-01T01-38-58-803Z-1-endpoint_retry-0,endpoint_retry,ANCHORED,SATISFIED,416.264,55,361.264,0.011,351.959,1,7,16610,0xf26afee3578d47f968cd621a2b2abf5b2ed48d342225eb783d5231a8e49c4435,0x805be3857c2984b9755c02711cfc2cf7153a78f8850736766a48f7bc575ede4c,1106,true,true,
1,1,livereg-2026-09-01T01-38-58-803Z-1-endpoint_retry-1,endpoint_retry,ANCHORED,SATISFIED,524.283,52,472.283,0.008,462.565,1,7,16610,0x360fd79727b8a067c23c641b65afcdfe5a95cf637cdb43d83c145b5255b007fe,0x8f1cc149ed281a586a47c20b1d6e1e6d41dc4e4fb4efde345eb9d7c64bde816f,1107,true,true,
1,2,livereg-2026-09-01T01-38-58-803Z-1-endpoint_retry-2,endpoint_retry,ANCHORED,SATISFIED,508.231,49,459.231,0.008,451.095,1,7,16610,0x7904370e1d4d4ebba0ac327cc85c12edd01a237c17e023d4f6a62dfa1853f374,0x3043083d1bebb5a4196ef910f925f9cb897d611c3567fb36cafc0487ab180c84,1108,true,true,
1,3,livereg-2026-09-01T01-38-58-803Z-1-endpoint_retry-3,endpoint_retry,ANCHORED,SATISFIED,531.174,51,480.174,0.007,472.116,1,7,16611,0xdcfd785ac06feabf027aadb250a99d517c16cd4f3eac90dbdffd442f22519846,0x7d41980a5b7ace460e0d3bdbea2677a3159eaca9a19c23c37c98057d8639488a,1109,true,true,
1,4,livereg-2026-09-01T01-38-58-803Z-1-endpoint_retry-4,endpoint_retry,ANCHORED,SATISFIED,510.958,51,459.958,0.003,452.478,1,7,16610,0x42f1f8d1ed2bf26c96e6430144d588eff107825d1011671b9266c508b4d8ce02,0x2e1f9789af75353db88f09fcbe2c514173396361e3c3f920565265abcc016fdd,1110,true,true,
1,5,livereg-2026-09-01T01-38-58-803Z-1-endpoint_retry-5,endpoint_retry,ANCHORED,SATISFIED,500.347,39,461.347,0.004,454.414,1,7,16502,0xffb94cf1a6712171c19166c710e9dbfb0d8b5bf1eae35fab05828c6a64899fc5,0xa9453569ef0989a801ce43832e468822b8e4c6596ba153cfb52cbae7807f3f85,1111,true,true,
